date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:26:30	78741/78741	---M--	200	added ('OK')	image/jpeg	etag:%226638b8aa-14086%22	https://templates.hibootstrap.com/pizi/default/assets/img/project/2.jpg	C:/My%20Web%20Sites/Dream%20Pools/templates.hibootstrap.com/pizi/default/assets/img/project/2.jpg	(from https://templates.hibootstrap.com/pizi/default/index.html)
16:26:30	86014/86014	---M--	200	added ('OK')	image/jpeg	etag:%226638b8aa-15bc2%22	https://templates.hibootstrap.com/pizi/default/assets/img/project/3.jpg	C:/My%20Web%20Sites/Dream%20Pools/templates.hibootstrap.com/pizi/default/assets/img/project/3.jpg	(from https://templates.hibootstrap.com/pizi/default/index.html)
16:26:30	16765/16765	---M--	200	added ('OK')	image/png	etag:%226638b8aa-5295%22	https://templates.hibootstrap.com/pizi/default/assets/img/testimonial/t-1.png	C:/My%20Web%20Sites/Dream%20Pools/templates.hibootstrap.com/pizi/default/assets/img/testimonial/t-1.png	(from https://templates.hibootstrap.com/pizi/default/index.html)
16:26:30	19535/19535	---M--	200	added ('OK')	image/png	etag:%226638b8aa-5cf8%22	https://templates.hibootstrap.com/pizi/default/assets/img/testimonial/t-2.png	C:/My%20Web%20Sites/Dream%20Pools/templates.hibootstrap.com/pizi/default/assets/img/testimonial/t-2.png	(from https://templates.hibootstrap.com/pizi/default/index.html)
16:26:31	162/162	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2007%20Aug%202025%2010:56:30%20GMT	https://templates.hibootstrap.com/pizi/default/price.html	C:/My%20Web%20Sites/Dream%20Pools/templates.hibootstrap.com/pizi/default/price.html	(from https://templates.hibootstrap.com/pizi/default/index.html)
16:26:31	1239/1239	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2007%20Aug%202025%2010:56:31%20GMT	https://templates.hibootstrap.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	C:/My%20Web%20Sites/Dream%20Pools/templates.hibootstrap.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	(from https://templates.hibootstrap.com/pizi/default/index.html)
16:26:31	87532/87532	---MCZ	200	added ('OK')	application/javascript	etag:W/%226638b8aa-155ec%22	https://templates.hibootstrap.com/pizi/default/assets/js/jquery.min.js	C:/My%20Web%20Sites/Dream%20Pools/templates.hibootstrap.com/pizi/default/assets/js/jquery.min.js	(from https://templates.hibootstrap.com/pizi/default/index.html)
16:26:31	80672/80672	---MCZ	200	added ('OK')	application/javascript	etag:W/%226638b8aa-13b20%22	https://templates.hibootstrap.com/pizi/default/assets/js/bootstrap.bundle.js	C:/My%20Web%20Sites/Dream%20Pools/templates.hibootstrap.com/pizi/default/assets/js/bootstrap.bundle.js	(from https://templates.hibootstrap.com/pizi/default/index.html)
16:26:32	44342/44342	---MCZ	200	added ('OK')	application/javascript	etag:W/%226638b8aa-ad36%22	https://templates.hibootstrap.com/pizi/default/assets/js/owl.carousel.min.js	C:/My%20Web%20Sites/Dream%20Pools/templates.hibootstrap.com/pizi/default/assets/js/owl.carousel.min.js	(from https://templates.hibootstrap.com/pizi/default/index.html)
16:26:32	8155/8155	---MCZ	200	added ('OK')	application/javascript	etag:W/%226638b8aa-1fdb%22	https://templates.hibootstrap.com/pizi/default/assets/js/wow.min.js	C:/My%20Web%20Sites/Dream%20Pools/templates.hibootstrap.com/pizi/default/assets/js/wow.min.js	(from https://templates.hibootstrap.com/pizi/default/index.html)
16:26:32	5931/5931	---MCZ	200	added ('OK')	application/javascript	etag:W/%226638b8aa-172b%22	https://templates.hibootstrap.com/pizi/default/assets/js/meanmenu.js	C:/My%20Web%20Sites/Dream%20Pools/templates.hibootstrap.com/pizi/default/assets/js/meanmenu.js	(from https://templates.hibootstrap.com/pizi/default/index.html)
16:26:32	20216/20216	---MCZ	200	added ('OK')	application/javascript	etag:W/%226638b8aa-4ef8%22	https://templates.hibootstrap.com/pizi/default/assets/js/jquery.magnific-popup.min.js	C:/My%20Web%20Sites/Dream%20Pools/templates.hibootstrap.com/pizi/default/assets/js/jquery.magnific-popup.min.js	(from https://templates.hibootstrap.com/pizi/default/index.html)
16:26:33	2946/2946	---MCZ	200	added ('OK')	application/javascript	etag:W/%226638b8aa-b82%22	https://templates.hibootstrap.com/pizi/default/assets/js/jquery.nice-select.min.js	C:/My%20Web%20Sites/Dream%20Pools/templates.hibootstrap.com/pizi/default/assets/js/jquery.nice-select.min.js	(from https://templates.hibootstrap.com/pizi/default/index.html)
16:26:33	2381/2381	---MCZ	200	added ('OK')	application/javascript	etag:W/%226638b8aa-94d%22	https://templates.hibootstrap.com/pizi/default/assets/js/jquery.ajaxchimp.min.js	C:/My%20Web%20Sites/Dream%20Pools/templates.hibootstrap.com/pizi/default/assets/js/jquery.ajaxchimp.min.js	(from https://templates.hibootstrap.com/pizi/default/index.html)
16:26:33	6055/6055	---MCZ	200	added ('OK')	application/javascript	etag:W/%226638b8aa-17a7%22	https://templates.hibootstrap.com/pizi/default/assets/js/form-validator.min.js	C:/My%20Web%20Sites/Dream%20Pools/templates.hibootstrap.com/pizi/default/assets/js/form-validator.min.js	(from https://templates.hibootstrap.com/pizi/default/index.html)
16:26:34	2052/2052	---MCZ	200	added ('OK')	application/javascript	etag:W/%226638b8aa-804%22	https://templates.hibootstrap.com/pizi/default/assets/js/contact-form-script.js	C:/My%20Web%20Sites/Dream%20Pools/templates.hibootstrap.com/pizi/default/assets/js/contact-form-script.js	(from https://templates.hibootstrap.com/pizi/default/index.html)
16:26:35	13242/13242	---MCZ	200	added ('OK')	application/javascript	etag:W/%226638b8aa-33ba%22	https://templates.hibootstrap.com/pizi/default/assets/js/custom.js	C:/My%20Web%20Sites/Dream%20Pools/templates.hibootstrap.com/pizi/default/assets/js/custom.js	(from https://templates.hibootstrap.com/pizi/default/index.html)
16:26:36	162/162	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2007%20Aug%202025%2010:56:35%20GMT	https://templates.hibootstrap.com/pizi/default/assets/css/owl.video.play.png	C:/My%20Web%20Sites/Dream%20Pools/templates.hibootstrap.com/pizi/default/assets/css/owl.video.play.png	(from https://templates.hibootstrap.com/pizi/default/assets/css/owl.carousel.min.css)
16:26:37	21418/21418	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%226638b8aa-53aa%22	https://templates.hibootstrap.com/pizi/default/assets/fonts/Flaticon.eot	C:/My%20Web%20Sites/Dream%20Pools/templates.hibootstrap.com/pizi/default/assets/fonts/Flaticon.eot	(from https://templates.hibootstrap.com/pizi/default/assets/fonts/flaticon.css)
16:26:38	21418/21418	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%226638b8aa-53aa%22	https://templates.hibootstrap.com/pizi/default/assets/fonts/Flaticon.eot?	C:/My%20Web%20Sites/Dream%20Pools/templates.hibootstrap.com/pizi/default/assets/fonts/Flaticond41d.eot	(from https://templates.hibootstrap.com/pizi/default/assets/fonts/flaticon.css)
16:26:39	11300/11300	---M--	200	added ('OK')	font/woff2	etag:%226638b8aa-2c24%22	https://templates.hibootstrap.com/pizi/default/assets/fonts/Flaticon.woff2	C:/My%20Web%20Sites/Dream%20Pools/templates.hibootstrap.com/pizi/default/assets/fonts/Flaticon.woff2	(from https://templates.hibootstrap.com/pizi/default/assets/fonts/flaticon.css)
16:26:40	13416/13416	---M--	200	added ('OK')	font/woff	etag:%226638b8aa-3468%22	https://templates.hibootstrap.com/pizi/default/assets/fonts/Flaticon.woff	C:/My%20Web%20Sites/Dream%20Pools/templates.hibootstrap.com/pizi/default/assets/fonts/Flaticon.woff	(from https://templates.hibootstrap.com/pizi/default/assets/fonts/flaticon.css)
16:26:41	21240/21240	---M--	200	added ('OK')	application/octet-stream	etag:%226638b8aa-52f8%22	https://templates.hibootstrap.com/pizi/default/assets/fonts/Flaticon.ttf	C:/My%20Web%20Sites/Dream%20Pools/templates.hibootstrap.com/pizi/default/assets/fonts/Flaticon.ttf	(from https://templates.hibootstrap.com/pizi/default/assets/fonts/flaticon.css)
16:26:42	137976/137976	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%226638b8aa-21af8%22	https://templates.hibootstrap.com/pizi/default/assets/fonts/Flaticon.svg	C:/My%20Web%20Sites/Dream%20Pools/templates.hibootstrap.com/pizi/default/assets/fonts/Flaticon.svg	(from https://templates.hibootstrap.com/pizi/default/assets/fonts/flaticon.css)
